"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","54/4162","93/9522",0.580645161290323,1.32842460975648,2.80449244639864,0.00359967165375624,0.0230068992327217,0.0146417003109766,"3675/1870/578/7185/3918/5915/1286/7188/581/3655/4616/1869/284217/331/3551/898/1021/595/329/1871/3910/5290/51426/1017/1164/1026/4149/10912/842/1643/1284/1019/4609/5925/7157/207/6502/1030/3673/836/1285/5747/598/5293/596/5728/3913/54205/1163/6256/1287/3908/3914/6257",54
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","57/4162","99/9522",0.575757575757576,1.31724258442183,2.7959178490282,0.00365833691519445,0.0230068992327217,0.0146417003109766,"1870/5601/4854/369/108/581/2778/10683/2099/1869/5595/5599/595/1871/6654/113/5290/1031/1026/54567/196883/25759/1019/109/5925/3480/9611/7157/2064/207/10498/5567/1956/1029/53358/4851/115/107/2852/5604/5747/2353/5293/596/111/112/3265/6199/3725/2885/3714/6667/399694/6714/4855/1564/4893",57
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","65/4162","115/9522",0.565217391304348,1.29312830370014,2.78670520410339,0.00367971604344048,0.0230068992327217,0.0146417003109766,"2773/5141/387/4040/6559/5337/9138/369/108/2778/3710/5332/5595/4324/2625/9368/4209/1958/113/1026/860/65266/2770/468/196883/9365/8521/408/5330/109/409/5567/148327/9586/1956/5331/3708/4929/5578/2776/4325/90993/10568/5745/115/107/65268/5579/5604/2353/596/9943/111/112/64764/5142/6667/6256/65267/142680/4326/27347/6257/1388/342538",65
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","62/4162","109/9522",0.568807339449541,1.30134153922118,2.78816292245943,0.00369165145281495,0.0230068992327217,0.0146417003109766,"920/3459/50943/5601/5588/30009/3326/3594/3560/3091/5595/50615/3551/4793/9466/10148/3718/2625/5599/5532/51561/3458/3565/7535/6772/5335/5914/3572/3559/3569/3662/59067/6097/4794/3561/861/917/3716/149233/6778/4088/915/2353/6777/4087/3725/3119/3932/6256/3123/3117/246778/919/916/6257/3111/3108/3122/27040/5534/3112/3109",62
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","29/4162","45/9522",0.644444444444444,1.47438731379145,2.81069556711262,0.00400152718050936,0.0245005787017152,0.0155922850431667,"355/3002/3458/942/356/941/3824/3821/3569/3811/940/3119/5551/3123/3117/3111/3108/3122/3107/3133/3135/3134/3105/7124/3106/3812/3112/3109/3804",29
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","183/4162","362/9522",0.505524861878453,1.15656120490308,2.67608946977376,0.00448379028322325,0.0260700926730717,0.0165911312140496,"3675/3082/4254/3918/1975/9170/2065/5525/2255/5523/8516/26281/1286/23239/3693/3655/55012/1299/3326/1943/3560/8115/5106/10110/51378/284217/2254/2321/5595/7249/5934/3551/3574/5516/2997/898/11140/26291/3718/1021/4233/6009/2253/1277/7448/374/595/7450/1297/896/5528/3910/2690/7060/5618/3565/5515/2246/5159/59345/6654/356/4602/1441/7010/63923/5290/2322/3164/1017/1026/5623/51764/2791/3791/468/2056/3691/842/4803/10971/3559/1284/1019/9470/3569/1101/4609/6194/5519/7057/22801/1950/1280/3695/10161/3480/5170/92579/7157/2064/207/1969/148327/3680/56034/9586/1956/3561/7424/9223/57818/284/5578/118788/8817/3815/90993/3455/200186/2264/2785/5563/3716/7039/1293/3673/1278/7534/6850/7248/5979/7184/2793/94235/54541/2786/7148/1128/3575/1285/5604/3667/7059/5747/7532/80310/4902/598/5293/596/3456/5728/3913/55970/256076/3265/6199/627/930/2885/2066/2149/64764/1946/4908/7058/6256/2057/9863/1978/1287/8823/3908/3914/1902/1443/4893/1388/3672/4515/5520/1945",183
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","159/4162","311/9522",0.511254019292605,1.16966861405675,2.68063844194534,0.00448445939849269,0.0260700926730717,0.0165911312140496,"292/5439/1387/163/1770/5689/5704/9519/1767/5685/5601/55102/8218/55062/6389/113457/5609/7419/6507/581/4708/5435/5684/5693/5688/5332/5432/5713/10671/10382/147700/27113/5599/7019/10105/5717/7350/10891/6506/6648/6908/10213/1768/9167/2882/6390/56171/4709/83544/2891/1211/27019/10376/514/5690/1340/8678/22863/7277/7979/3092/5682/6874/11047/84701/1327/1349/4695/55860/5468/1742/842/51164/517/1329/4711/5695/347733/5330/4704/6875/7157/5694/5686/148327/5433/4726/9586/54539/4715/774/29982/5331/3708/291/112714/518/143471/522/2890/2776/7381/90993/26100/5710/5692/125965/5701/1173/1346/7802/5437/4724/836/27089/1345/509/7417/5702/84790/4723/3800/4725/7386/25942/54205/7388/5707/126328/5708/1212/84617/627/2902/8408/3766/4729/9377/1537/5430/64764/6667/5719/127602/341947/8632/203068/441925/3066/5718/3064/7052/6392/4722/440567/539/10381/2904/5691",159
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","45/4162","76/9522",0.592105263157895,1.35464351652798,2.73517284324471,0.00455602787507193,0.0260700926730717,0.0165911312140496,"1080/477/816/2773/483/60/108/2778/6548/3710/85366/5332/760/887/3274/113/3759/2770/482/196883/480/1131/5330/109/5567/481/805/817/340156/115111/818/5331/3708/3758/5578/2776/115/107/5579/111/112/3766/51806/6752/496",45
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","140/4162","271/9522",0.516605166051661,1.18191119441228,2.67706956094272,0.00458997220128161,0.0260700926730717,0.0165911312140496,"292/5689/5704/55334/5685/3309/5601/816/9627/2773/6389/113457/7419/581/2778/4708/3710/7494/5684/5693/5688/5713/10382/147700/5599/10105/5717/7922/10213/27429/9167/6390/4709/1843/10376/514/5335/5690/1340/7277/7979/2770/135/468/5682/11047/7317/84701/1327/1349/4695/842/201266/517/1329/4711/7295/5695/347733/4704/25800/7157/5694/5567/5686/27173/805/6233/817/4726/54539/4715/55630/221074/818/1813/7316/3708/291/112714/7345/518/143471/522/90550/7381/65018/5710/5692/125965/5701/1346/4724/836/27089/1345/509/7417/6571/29986/5702/84790/4723/3800/4725/7386/2861/55669/598/54205/111/7388/5707/126328/5708/84617/4729/51806/9377/1537/7327/1812/5071/5719/4137/341947/120892/4128/203068/5718/51465/6263/1616/6392/4722/7311/440567/539/10381/5691",140
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","19/4162","27/9522",0.703703703703704,1.60996315873779,2.79671317283646,0.00463136316828208,0.0260700926730717,0.0165911312140496,"60481/30/64834/51495/8310/11332/6319/6342/6785/10965/83401/3295/9415/570/3992/9200/122970/641371/54898",19
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","68/4162","122/9522",0.557377049180328,1.27519083668791,2.69562752852058,0.00476587918141308,0.0262939244225938,0.0167335788061146,"920/2534/3937/5601/5588/5525/387/998/8440/5523/1739/5609/5063/5788/55012/9402/959/5595/3551/5516/4793/5599/5532/3458/5528/3702/3565/3567/5515/7535/6654/5290/5335/10451/6885/1019/3586/5519/5170/207/4794/925/4690/917/1493/29851/1437/915/5604/2353/5293/926/10892/3265/3725/2885/940/3932/5133/84433/919/916/4893/27040/5534/5520/7124/927",68
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","53/4162","92/9522",0.576086956521739,1.31799615569438,2.70065969328202,0.00488832102885911,0.0262939244225938,0.0167335788061146,"2773/113457/108/2778/3710/5332/3356/5595/10382/5159/6654/113/10376/7277/2770/196883/3357/347733/5330/109/1950/5567/56034/1956/1813/5331/3708/112714/2977/2697/5578/2776/115/2982/107/5598/5579/84790/5604/983/80310/111/112/3265/84617/2885/1812/5592/203068/6714/1902/4893/10381",53
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","62/4162","110/9522",0.563636363636364,1.28951116159189,2.6911048617672,0.00489714924776102,0.0262939244225938,0.0167335788061146,"1387/3459/816/5214/7037/2023/1906/8569/7018/2872/3091/51378/5230/2321/5595/5054/8453/2027/230/4055/3458/2597/2026/3945/2034/6513/7010/5290/5335/1026/2056/5160/3939/9470/3569/6194/1950/3480/2064/5211/207/817/1956/818/226/5163/284/5578/6921/80201/3101/1536/5579/5162/5604/5209/5293/596/6199/1978/5336/112398",62
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","143/4162","278/9522",0.514388489208633,1.17683978718035,2.63683126081719,0.00514155729872507,0.0271879317765916,0.0173025293465867,"292/5689/2534/5704/729/5685/3309/5601/1535/1459/6389/113457/7419/581/4708/3710/4689/5684/5693/5688/778/5595/5713/10382/147700/2906/727/5599/5532/10105/5717/10213/9167/4688/6390/4709/1958/5290/10376/514/5690/1340/7277/7979/468/5880/5682/11047/84701/1327/1349/4695/842/517/1329/3569/4711/5695/347733/4704/5694/5567/5686/148327/4726/9586/54539/4715/4851/774/4684/3708/291/112714/518/143471/4685/522/90550/7381/776/90993/653361/714/5710/5692/125965/5701/1346/5580/4724/836/27089/1345/1536/509/7417/5702/84790/4723/3800/10963/4725/7386/5293/5621/54205/3310/713/712/7388/5707/126328/5708/84617/2902/733/4729/9377/1537/64764/859/5719/341947/6261/203068/5718/6262/6263/6392/3305/100506742/1460/4722/1388/5534/7124/440567/539/10381/6352/2904/5691",143
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","36/4162","59/9522",0.610169491525424,1.39597162381189,2.68834855483016,0.00544054135306903,0.0283395363018073,0.0180354159544001,"578/1495/4292/369/6932/581/4616/5595/595/6654/5290/51426/1026/2002/10912/842/1643/324/4609/51176/1950/5170/7157/2064/207/1956/6934/83439/3611/8313/5604/5293/5728/3265/2885/4893",36
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","76/4162","139/9522",0.546762589928058,1.25090662693296,2.6257815936723,0.0057216991184846,0.029151113012406,0.0185519072405902,"2773/108/5241/8648/2778/2099/3326/3710/5332/5595/25984/8688/3882/3875/5443/6654/113/5290/2770/468/3872/196883/25759/3884/5914/9568/5330/109/207/5567/148327/805/9586/1956/53358/5331/3708/2776/3763/90993/7031/115/3765/3760/7039/5580/107/2852/7184/192666/5604/2353/3880/3866/8687/3857/5293/596/3310/111/112/3265/3725/2885/51806/64764/6667/399694/3868/3861/9687/390792/6714/3305/4893/1388",76
